PlayerId,PlayerName,Salary,PlayerPos,Default_Proj_Score,Proj_Mins,Team,Period,AwayTeam,HomeTeam,DateTime,Actual_Pts,Last_Sal,Proj_Score
1915,Kentavious Caldwell-Pope,5000,SG,23.89,35.33,DET,2015-11-20,DET,MIN,2015-11-20 200000,14.20,5100,23.89
1193504,D'Angelo Russell,5000,PG,19.22,23.33,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,28.00,5100,19.22
1867,Wesley Matthews,4900,SG,20.24,31.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,11.70,4800,20.24
1908,Louis Williams,4800,SG,18.58,25.00,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,14.50,5100,18.58
316952,Langston Galloway,4700,SG,22.62,27.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,18.40,4700,22.62
2049,Rodney Hood,4700,SG,21.56,28.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,19.20,4600,21.56
694,Jameer Nelson,4700,PG,18.61,23.67,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,14.90,4600,18.61
1955,Andre Iguodala,4700,SF,22.77,32.67,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,20.50,4700,22.77
700,Jeremy Lin,4700,PG,24.64,30.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,17.60,4600,24.64
1866,Joakim Noah,4700,C,16.04,21.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,6.40,4800,16.04
2603,Jeremy Lamb,4600,SG,25.57,28.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,20.60,4600,25.57
2587,J.J. Redick,4600,SG,0.00,0.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,14.20,4600,0.00
1845,Kevin Martin,4600,SG,19.92,26.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,17.90,4700,19.92
1830,Arron Afflalo,4600,SG,16.25,30.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,14.90,4500,16.25
2044,Dwight Powell,4500,PF,23.40,24.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,23.30,4600,23.40
