
1922,Brandon Bass,3700,PF,17.00,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,15,15.00,3800,13.34
581955,JaMychal Green,3700,PF,30.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,23,8.50,3500,25.04
2575,Spencer Hawes,3700,C,19.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,14,11.00,3500,15.04
720,Alexis Ajinca,3700,C,6.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,11,11.60,3500,6.11
1838,Paul Pierce,3700,SF,25.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,0,0.00,3700,17.20
1913,Corey Brewer,3700,SF,20.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,13,3.00,3600,12.90
1943,Trevor Booker,3700,PF,19.67,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,14,9.40,3800,15.36
1885,Kirk Hinrich,3700,SG,29.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,34,22.90,3500,15.08
1966,Kevin Garnett,3700,PF,15.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,13,8.80,3700,13.71
2034,Doug McDermott,3700,SF,25.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,18,4.20,3700,17.13
1902,Kelly Olynyk,3700,C,17.00,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,20,20.50,3800,17.34
1992,Pablo Prigioni,3600,PG,8.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,0,0.00,3600,4.67
1193538,Jerian Grant,3600,PG,17.67,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,13,11.80,3800,13.25
2052,Phil Pressey,3600,PG,14.00,PHI,2015-11-20,PHI,CHA,2015-11-20 190000,9,3.00,3500,15.01
1193455,Frank Kaky,3600,PF,18.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,19,21.10,3500,13.36
773,Luke Babbitt,3600,SF,17.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,0,0.00,3500,8.69
766,Raymond Felton,3600,PG,22.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,15,7.00,3500,13.00
2035,Leandro Barbosa,3600,SG,12.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,8,4.50,3600,9.01
1193501,Metta World Peace,3600,SF,16.67,LAL,2015-11-20,TOR,LAL,2015-11-20 223000,16,5.20,3500,12.77
2001,Andre Roberson,3600,SG,27.00,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,26,7.90,3500,14.39
705,Wesley Johnson,3600,SF,8.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,22,9.10,3600,5.11
2384,Lance Stephenson,3600,SG,23.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,18,5.50,3600,13.41
2032,Juan Jose Barea,3600,PG,17.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,21,20.30,3700,13.39
702,Patrick Beverley,3500,PG,9.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,,,3500,5.60
1928,Terrence Ross,3500,SG,0.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,14,9.20,3500,0.00
2681,Anthony Morrow,3500,SG,22.00,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,22,8.60,3500,12.89
937205,Toney Douglas,3500,PG,10.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,12,6.30,3500,7.46
1997,Tony Snell,3500,SG,21.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,28,8.60,3500,11.72
2598,Matt Barnes,3500,SF,26.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,33,28.40,3500,17.10
1957,K.J. McDaniels,3500,SF,3.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,14,10.00,3500,2.28
1994,Nick Collison,3500,PF,15.67,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,20,18.90,3500,11.98
10108,Noah Vonleh,3500,PF,25.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,17,7.60,3500,13.85
3885,Derrick Williams,3500,PF,8.67,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,15,14.60,3500,9.23
2025,Shabazz Muhammad,3500,SF,17.67,MIN,2015-11-20,DET,MIN,2015-11-20 200000,17,2.60,3500,12.50
1193588,Raulzinho Neto,3500,PG,15.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,15,9.90,3500,9.47
1894,Kyle Singler,3500,SF,16.33,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,14,5.40,3500,5.90
2023,Chuck Hayes,3500,C,4.67,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,,,3500,3.45
2671,Rasual Butler,3500,SF,12.33,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,10,3.40,3500,8.41
1193587,Trey Lyles,3500,PF,3.00,UTA,2015-11-20,UTA,DAL,2015-11-20 203000,4,0.00,3500,3.50
723,Jason Terry,3500,PG,20.00,HOU,2015-11-20,HOU,MEM,2015-11-20 200000,21,7.10,3500,11.70
2669,Spencer Dinwiddie,3500,PG,5.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,20,12.20,3700,4.56
1893,Andrea Bargnani,3500,C,12.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,14,8.90,3500,9.30
10095,Tyler Hansbrough,3500,PF,0.00,CHA,2015-11-20,PHI,CHA,2015-11-20 190000,2,9.70,3500,0.00
750,Aron Baynes,3500,C,9.67,DET,2015-11-20,DET,MIN,2015-11-20 200000,18,24.70,3500,6.93
1952,Steve Blake,3500,PG,15.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,0,0.00,3500,9.83
721,Maurice Harkless,3500,SF,22.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,7,1.20,3500,13.97
748,Kyle Anderson,3500,SF,15.00,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,7,8.90,3500,10.47
2048,Alonzo Gee,3500,SF,21.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,17,7.20,3500,9.74
1193469,Justin Anderson,3500,SF,4.33,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,0,0.00,3500,3.06
2017,Lance Thomas,3500,SF,19.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,19,17.10,3500,8.61
747,Charlie Villanueva,3500,PF,5.00,DAL,2015-11-20,UTA,DAL,2015-11-20 203000,2,0.00,3500,4.76
1862,Vince Carter,3500,SF,0.00,MEM,2015-11-20,HOU,MEM,2015-11-20 200000,17,15.60,3500,0.00
3874,Ray McCallum,3500,PG,4.33,SAS,2015-11-20,SAS,NOP,2015-11-20 200000,6,2.40,3500,3.35
19069,E'Twaun Moore,3500,PG,25.00,CHI,2015-11-20,CHI,GSW,2015-11-20 223000,24,15.00,3500,13.85
2661,Louis Amundson,3500,PF,8.00,NYK,2015-11-20,NYK,OKC,2015-11-20 200000,0,0.00,3500,7.42
1193567,Cliff Alexander,3500,PF,5.00,POR,2015-11-20,LAC,POR,2015-11-20 220000,2,4.40,3500,3.58
1887,Randy Foye,3500,SG,21.00,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,13,3.20,3600,13.50
715,Omer Asik,3500,C,22.00,NOP,2015-11-20,SAS,NOP,2015-11-20 200000,11,8.40,3500,16.98
1910,Anthony Tolliver,3500,PF,17.00,DET,2015-11-20,DET,MIN,2015-11-20 200000,20,4.40,3500,8.93
14848,Adreian Payne,3500,PF,3.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,19,4.60,3500,1.89
1978,Jon Leuer,3500,PF,15.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,21,15.00,3600,14.64
1937,Patrick Patterson,3500,PF,24.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,26,21.90,3700,14.33
2042,Darrell Arthur,3500,PF,12.67,DEN,2015-11-20,PHX,DEN,2015-11-20 210000,18,13.10,3500,7.67
2010,Thomas Robinson,3500,PF,5.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,16,13.20,3800,4.73
6640,Shaun Livingston,3500,PG,18.00,GSW,2015-11-20,CHI,GSW,2015-11-20 223000,12,10.10,3500,10.55
3835,Luc Mbah a Moute,3500,SF,8.00,LAC,2015-11-20,LAC,POR,2015-11-20 220000,10,5.80,3500,5.35
1193452,R.J. Hunter,3500,SG,3.33,BOS,2015-11-20,BKN,BOS,2015-11-20 193000,6,5.00,3500,2.22
2500,Bismack Biyombo,3500,C,18.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,15,7.80,3900,15.84
1933,James Johnson,3500,SF,5.00,TOR,2015-11-20,TOR,LAL,2015-11-20 223000,15,9.80,3700,3.44
1828,D.J. Augustin,3500,PG,17.67,OKC,2015-11-20,NYK,OKC,2015-11-20 200000,13,1.00,3500,11.98
10487,Sergey Karasev,3500,SF,0.00,BKN,2015-11-20,BKN,BOS,2015-11-20 193000,24,7.50,3500,0.00
1193558,Devin Booker,3500,SG,5.00,PHX,2015-11-20,PHX,DEN,2015-11-20 210000,9,1.70,3500,3.88
3903,Tayshaun Prince,3500,SF,15.00,MIN,2015-11-20,DET,MIN,2015-11-20 200000,21,4.90,3500,6.81
